If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
1,,,,,,,,,,
2,8309,8218,7999,7932,7601,6933,6714,6345,6235,6194
3,7805,7608,7597,7464,7401,7381,7250,6907,6800,6122
4,8056,7870,7702,7447,7456,7231,6236,5874,5845,5703
5,8042,7865,7817,7442,7176,6675,6677,6314,6176,6067
6,7140,7143,7133,6846,6639,6472,6412,5778,5638,5575
7,7219,7225,7142,7030,6812,6556,5858,5807,5486,5387
8,8285,8018,7720,7703,7561,7239,7139,6683,6133,5887
9,8075,8004,7989,7954,7935,7681,7639,7554,7008,6488
10,8092,7890,7734,7321,6807,6530,6068,5985,5947,5865
11,8152,7937,7831,7713,6896,6765,6443,6284,6223,5767
12,7068,6993,6468,6161,6076,5816,5764,5494,5372,5303
13,7496,7458,7248,6875,6787,6696,6514,6428,6101,5272
14,8333,8251,7942,7928,7138,7059,6553,6385,6352,6018
15,7499,7380,7163,7011,6976,6560,6505,6212,6110,5968
16,7722,7687,7617,7530,7473,6964,6668,6540,6327,6177
17,7604,7474,7467,7443,7351,7287,7070,7048,6799,6569
18,7892,7647,7179,6778,6573,6513,6406,6121,5911,5841
19,8163,8117,7948,6618,6595,6449,6271,5614,5574,5457
20,19,8477,8315,8199,8188,8044,7786,7718,7589,7485
21,8380,7794,7757,7365,7265,6938,6740,6722,6147,5970
22,8275,8089,7998,7444,7279,6887,6840,6587,6158,5781
23,8005,7970,7903,7591,7249,6915,6822,6458,6463,6290
24,7715,7484,7450,7349,7344,6776,6605,6519,5946,5189
25,8048,7847,7507,7301,7125,7055,6928,6633,6435,5966
26,7924,7812,7544,7350,6869,6671,6275,6153,6039,5969
27,8306,8023,7990,7730,7529,7493,7335,7224,6500,6417
28,8312,8264,7895,7384,7272,7082,6951,6908,6534,6322
29,8350,8169,8131,7826,7801,7553,7292,7226,7210,7121
30,7971,7418,7150,7072,7012,6473,5847,5633,5596,5175
31,8108,6868,6843,6378,6227,5852,5640,5407,5021,4933
32,8219,8148,8059,7906,7862,7565,7538,7545,7524,7404
33,8180,8172,8142,8090,7977,7966,7916,7918,7822,7537
34,8231,8055,7883,7811,7782,7594,7440,7120,6944,6769
35,8123,8006,6832,6655,6475,6337,6302,6174,5960,5921
36,8180,8172,8142,8090,7977,7966,7916,7918,7822,7537
37,8030,7889,7543,7338,7086,6972,6891,6895,6568,6496
38,7629,7005,6723,6298,6182,6146,6037,6040,5741,5637
39,8306,8023,7990,7730,7529,7493,7335,7224,6500,6417
40,8304,8192,8130,8109,7764,7145,6499,6390,6350,6254
41,8311,7997,7868,7737,7571,7549,7452,7397,7022,7002
42,8368,8283,8010,7598,7284,7157,7096,7054,7020,7001
43,8108,6868,6843,6378,6227,5852,5640,5407,5021,4933
44,7603,7366,6934,6701,6625,6175,5837,5751,5667,5465
45,7306,7014,6941,6829,6518,6478,6383,6330,6214,5320
46,7924,7812,7544,7350,6869,6671,6275,6153,6039,5969
47,8270,8079,7944,7873,7886,7690,7393,6785,6592,6479
48,8263,8022,7789,7707,7654,7634,7539,7345,7031,6962
49,8025,7769,7304,6889,6700,6644,6424,6185,6091,5840
50,7156,7010,6336,6315,5973,5943,5892,5309,5253,4768
51,8166,7952,7712,7281,7258,7134,7069,6501,6494,6425
52,7694,7659,7575,7162,6906,6816,6729,6200,5772,5604
53,7555,7126,6658,6594,6531,6433,6249,6167,6160,5975
54,7715,7484,7450,7349,7344,6776,6605,6519,5946,5189
55,8190,8134,7921,7878,7727,7358,6999,6699,6093,5545
56,8047,7980,7750,7600,7580,7391,7044,7003,6224,5666
57,8140,7955,7406,7091,6586,6476,6222,6197,5061,5053
58,7806,7481,7420,7312,7220,7041,7026,6667,6267,6193
59,8280,8258,7534,7207,6997,6661,6570,6528,6510,6251
60,8108,6868,6843,6378,6227,5852,5640,5407,5021,4933
61,7609,7490,7439,7269,7205,6808,6571,5551,5476,5221
62,7603,7366,6934,6701,6625,6175,5837,5751,5667,5465
63,7364,7331,7268,6747,6384,5804,5745,5529,5353,5012
64,8262,8077,7167,7000,6894,6656,6063,5765,5459,5424
65,8030,7889,7543,7338,7086,6972,6891,6895,6568,6496
66,7841,7810,7736,7459,7441,7172,6824,6614,6515,6377
67,7978,7671,7407,6574,6461,5912,5789,5658,5362,5306
68,7806,7481,7420,7312,7220,7041,7026,6667,6267,6193
69,8025,7769,7304,6889,6700,6644,6424,6185,6091,5840
70,8194,7904,7747,7558,7386,7262,7113,7037,6954,6794
71,7805,7608,7597,7464,7401,7381,7250,6907,6800,6122
72,8129,7894,7735,7215,7099,6994,6851,6861,6321,6064
73,8084,7961,7682,7448,7430,7295,7227,7192,7115,6527
74,8000,7891,7867,7337,7245,7152,7110,6918,6741,6692
75,8175,8093,8076,7779,7793,7427,7123,6593,6281,6233
76,8245,7972,7650,7372,7200,7147,6754,6465,6438,6339
77,7698,7361,7195,7097,6624,6392,6169,6032,5846,5830
78,7859,7725,7684,7119,7034,6945,6320,5528,5478,5487
79,7956,7518,7491,7352,7354,7263,7211,7216,7109,6622
80,8025,7769,7304,6889,6700,6644,6424,6185,6091,5840
81,8048,7847,7507,7301,7125,7055,6928,6633,6435,5966
82,7777,7673,7651,7483,7323,7274,6960,6899,6866,6839
83,7219,7225,7142,7030,6812,6556,5858,5807,5486,5387
84,7719,7627,7586,7590,7092,7032,6987,6828,6781,6725
85,7887,7691,7218,7185,7058,6830,6486,6291,6084,6042
86,8129,7894,7735,7215,7099,6994,6851,6861,6321,6064
87,8231,8055,7883,7811,7782,7594,7440,7120,6944,6769
88,8040,7979,7849,7787,7585,6905,6471,6369,6129,6021
89,8350,8169,8131,7826,7801,7553,7292,7226,7210,7121
90,8152,7937,7831,7713,6896,6765,6443,6284,6223,5767
91,7717,7611,7446,7416,6930,6901,6888,6856,6760,6356
92,8165,8124,7850,7776,7318,7149,6855,6805,6388,6311
93,8051,7592,7389,7363,7242,6757,6721,6498,6170,5730
94,7963,7939,7901,7832,7206,6878,6705,6707,6691,6332
95,7879,7830,7547,7299,7223,6804,6632,6370,6326,5993
96,8078,7844,7855,7583,7531,6862,6848,6083,6006,5991
97,8304,8192,8130,8109,7764,7145,6499,6390,6350,6254
98,7697,7689,7661,7648,7557,6897,6786,6260,6255,6085
99,7963,7939,7901,7832,7206,6878,6705,6707,6691,6332
100,8173,7988,7820,7803,7729,7089,6819,6793,6784,6310
101,8035,7792,7463,7256,7193,7063,6684,6657,6307,6117
