If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
102,8146,7926,7765,7470,7252,7236,6932,6551,6421,6292
103,8338,8207,8138,8069,7664,7578,7535,7280,7169,7067
104,8219,8148,8059,7906,7862,7565,7538,7545,7524,7404
105,8275,8089,7998,7444,7279,6887,6840,6587,6158,5781
106,6775,6744,6604,6591,6312,6232,5894,5599,5464,5335
107,7364,7331,7268,6747,6384,5804,5745,5529,5353,5012
108,7838,7819,7184,6920,6885,6791,6398,6365,6333,6280
109,8112,8020,7927,7846,7775,7721,7665,7202,7093,7006
110,8245,7972,7650,7372,7200,7147,6754,6465,6438,6339
111,7742,7517,7501,6988,6783,6295,6282,6152,5919,5801
112,7364,7331,7268,6747,6384,5804,5745,5529,5353,5012
113,8263,8022,7789,7707,7654,7634,7539,7345,7031,6962
114,8237,8147,7902,7759,7705,7670,7567,7533,7387,7367
115,8244,7848,7762,7572,7502,7016,6898,6617,6491,6474
116,8278,7950,7893,7728,7621,7595,7423,7033,6968,6859
117,7643,7112,6702,6509,5952,5867,5835,5531,5396,5305
118,7995,7933,7724,7636,7378,7319,7328,7136,7101,6977
119,7618,7482,7064,6789,6695,6414,6007,5762,5541,5508
120,8163,8117,7948,6618,6595,6449,6271,5614,5574,5457
121,7984,7882,7668,7606,7581,7283,7106,6852,6844,6770
122,7827,7624,7433,7057,6504,6434,6231,6165,5998,5862
123,8262,8077,7167,7000,6894,6656,6063,5765,5459,5424
124,7823,7784,7486,7377,7237,7241,7161,6809,6665,6328
125,7843,7476,7410,7144,6821,6708,6717,6673,6589,6542
126,7872,7731,7656,7584,7556,7510,7273,7228,7107,6919
127,7887,7691,7218,7185,7058,6830,6486,6291,6084,6042
128,8219,8148,8059,7906,7862,7565,7538,7545,7524,7404
129,8260,8271,8150,8081,7958,7699,7701,7655,7628,7610
130,8338,8207,8138,8069,7664,7578,7535,7280,7169,7067
131,7432,7400,7298,7181,7130,6585,6357,5956,5777,5744
132,8072,7607,7596,7229,6710,6662,6546,6541,6362,5775
133,8038,7675,7678,6870,6451,6400,5979,5836,5660,5664
134,8168,7532,7403,7374,6980,6523,6148,6112,5959,5612
135,7555,7126,6658,6594,6531,6433,6249,6167,6160,5975
136,8049,8013,7666,7658,7477,7409,7382,7212,6849,6645
137,8112,8020,7927,7846,7775,7721,7665,7202,7093,7006
138,7892,7647,7179,6778,6573,6513,6406,6121,5911,5841
139,8287,8170,8028,7802,7706,7489,7497,7036,7004,6524
140,8282,8080,7938,7332,7278,7073,6937,6902,6903,6480
141,8166,7952,7712,7281,7258,7134,7069,6501,6494,6425
142,7908,7773,7663,7512,7487,7346,7307,7151,6660,6583
143,7246,6608,6590,6294,6277,5613,5201,4681,4565,4534
144,7964,7412,7155,6990,6052,6047,5533,4994,4667,4156
145,7090,6731,6719,6630,6603,6562,6547,6452,6043,6000
146,7788,7642,7251,5962,5842,5680,5580,4824,4589,4529
147,8071,7973,7813,7710,7679,7662,7577,7472,7394,7247
148,8043,7798,7686,7511,7475,7371,7330,7293,7183,6874
149,7641,7422,7153,7061,6952,6831,6788,6623,6600,6576
150,7875,7644,7614,7548,7015,7024,6910,6054,5084,4985
151,7920,7708,7255,7118,7065,6854,6627,6348,5938,5500
152,8025,7769,7304,6889,6700,6644,6424,6185,6091,5840
153,8096,7957,7960,7783,7454,7431,7094,6873,6099,5971
154,7828,7599,6577,6487,6437,5893,5851,5569,5063,4192
155,7555,7126,6658,6594,6531,6433,6249,6167,6160,5975
156,8129,7894,7735,7215,7099,6994,6851,6861,6321,6064
157,7308,7171,7148,7122,7040,6768,6728,6687,6265,5832
158,7809,7751,7754,6883,6709,6688,6550,6127,6025,5923
159,8361,8256,8191,8095,8058,7991,7808,7613,7559,7291
160,8368,8283,8010,7598,7284,7157,7096,7054,7020,7001
161,7872,7731,7656,7584,7556,7510,7273,7228,7107,6919
162,7924,7812,7544,7350,6869,6671,6275,6153,6039,5969
163,7726,6893,6798,6503,6038,5659,5571,5548,5405,5141
164,7156,7010,6336,6315,5973,5943,5892,5309,5253,4768
165,7719,7627,7586,7590,7092,7032,6987,6828,6781,6725
166,7715,7484,7450,7349,7344,6776,6605,6519,5946,5189
167,8092,7890,7734,7321,6807,6530,6068,5985,5947,5865
168,8025,7769,7304,6889,6700,6644,6424,6185,6091,5840
169,8277,8182,8101,7869,7494,7302,7253,7188,7160,7080
170,8304,8192,8130,8109,7764,7145,6499,6390,6350,6254
171,7864,7755,7693,7445,7300,6982,6916,6927,6826,6777
172,7697,7689,7661,7648,7557,6897,6786,6260,6255,6085
173,8263,8022,7789,7707,7654,7634,7539,7345,7031,6962
174,8123,8006,6832,6655,6475,6337,6302,6174,5960,5921
175,8368,8283,8010,7598,7284,7157,7096,7054,7020,7001
176,8042,7865,7817,7442,7176,6675,6677,6314,6176,6067
177,8244,7848,7762,7572,7502,7016,6898,6617,6491,6474
178,7859,7725,7684,7119,7034,6945,6320,5528,5478,5487
179,7872,7731,7656,7584,7556,7510,7273,7228,7107,6919
180,8175,8093,8076,7779,7793,7427,7123,6593,6281,6233
181,7698,7361,7195,7097,6624,6392,6169,6032,5846,5830
182,7641,7422,7153,7061,6952,6831,6788,6623,6600,6576
183,8364,8033,8017,7778,7515,7158,7165,7135,7021,6911
184,8098,7509,7324,7326,7327,7178,7146,6796,6647,6410
185,7910,7683,7325,7177,7114,7028,7013,6835,6820,6404
186,8267,7768,6970,6892,6584,6544,6376,5717,4879,4738
187,7499,7380,7163,7011,6976,6560,6505,6212,6110,5968
188,7719,7627,7586,7590,7092,7032,6987,6828,6781,6725
189,8263,8022,7789,7707,7654,7634,7539,7345,7031,6962
190,7823,7784,7486,7377,7237,7241,7161,6809,6665,6328
191,8361,8256,8191,8095,8058,7991,7808,7613,7559,7291
192,7306,7014,6941,6829,6518,6478,6383,6330,6214,5320
193,8166,7952,7712,7281,7258,7134,7069,6501,6494,6425
194,7836,7649,7303,6963,6871,6863,6847,6575,6338,6104
195,7962,7506,7466,7009,6845,6802,6730,6651,6638,6442
196,7709,7342,7285,7222,7189,7049,7025,6913,6925,6712
197,8338,8207,8138,8069,7664,7578,7535,7280,7169,7067
198,7722,7687,7617,7530,7473,6964,6668,6540,6327,6177
199,8267,7768,6970,6892,6584,6544,6376,5717,4879,4738
200,8350,8169,8131,7826,7801,7553,7292,7226,7210,7121
201,6957,6803,6303,6208,5974,5948,5719,5152,4881,4159
202,7240,7204,6046,6014,5732,5008,4927,4833,4594,4586
203,7540,7201,7098,6950,6942,6865,6711,6445,6279,5685
204,8139,8141,7896,7876,7885,7733,7602,7593,7232,6917
205,7499,7380,7163,7011,6976,6560,6505,6212,6110,5968
206,8333,8251,7942,7928,7138,7059,6553,6385,6352,6018
207,8075,8004,7989,7954,7935,7681,7639,7554,7008,6488
208,8270,8079,7944,7873,7886,7690,7393,6785,6592,6479
209,8000,7891,7867,7337,7245,7152,7110,6918,6741,6692
210,8197,7814,7560,7376,7198,7103,7104,7051,6767,6341
211,7809,7751,7754,6883,6709,6688,6550,6127,6025,5923
212,8136,7911,7851,7774,7413,7424,7402,7362,7347,6610
213,8068,8052,7760,7419,6983,6481,6301,6243,6248,6225
214,7987,7993,7951,7857,7738,6795,6564,6253,5910,5873
215,7308,7171,7148,7122,7040,6768,6728,6687,6265,5832
216,7156,7010,6336,6315,5973,5943,5892,5309,5253,4768
217,8236,7541,7396,7385,7233,7062,6974,6613,6619,6497
218,7309,7076,7060,6958,6650,6581,6258,6137,6081,5653
219,8312,8264,7895,7384,7272,7082,6951,6908,6534,6322
220,7709,7342,7285,7222,7189,7049,7025,6913,6925,6712
221,7140,7143,7133,6846,6639,6472,6412,5778,5638,5575
222,7925,7660,7294,7170,7052,6998,6323,6198,6145,6131
223,7043,7017,6810,6599,6373,6034,5787,5399,5302,5214
224,8175,8093,8076,7779,7793,7427,7123,6593,6281,6233
225,7156,7010,6336,6315,5973,5943,5892,5309,5253,4768
226,7612,7492,7297,7209,6742,6360,5863,5479,5381,4756
227,8278,7950,7893,7728,7621,7595,7423,7033,6968,6859
228,7829,7587,7536,7018,6872,6635,6162,5810,5784,5468
229,7892,7647,7179,6778,6573,6513,6406,6121,5911,5841
230,8146,7926,7765,7470,7252,7236,6932,6551,6421,6292
231,8139,8141,7896,7876,7885,7733,7602,7593,7232,6917
232,7841,7810,7736,7459,7441,7172,6824,6614,6515,6377
233,7540,7201,7098,6950,6942,6865,6711,6445,6279,5685
234,8072,7607,7596,7229,6710,6662,6546,6541,6362,5775
235,8162,8064,7959,7790,7732,7744,7566,7514,7388,7174
236,6995,6961,6773,6758,6444,6393,5750,5641,5463,5450
237,7364,7331,7268,6747,6384,5804,5745,5529,5353,5012
238,7156,7010,6336,6315,5973,5943,5892,5309,5253,4768
239,8275,8089,7998,7444,7279,6887,6840,6587,6158,5781
240,8040,7979,7849,7787,7585,6905,6471,6369,6129,6021
241,7827,7624,7433,7057,6504,6434,6231,6165,5998,5862
242,8278,7950,7893,7728,7621,7595,7423,7033,6968,6859
243,7629,7005,6723,6298,6182,6146,6037,6040,5741,5637
244,7717,7611,7446,7416,6930,6901,6888,6856,6760,6356
245,19,8477,8315,8199,8188,8044,7786,7718,7589,7485
246,7043,7017,6810,6599,6373,6034,5787,5399,5302,5214
247,7341,6674,6418,6269,6097,6029,6011,5955,5805,5752
248,8152,7937,7831,7713,6896,6765,6443,6284,6223,5767
249,8275,8089,7998,7444,7279,6887,6840,6587,6158,5781
250,8380,7794,7757,7365,7265,6938,6740,6722,6147,5970
251,8245,7972,7650,7372,7200,7147,6754,6465,6438,6339
252,8168,7532,7403,7374,6980,6523,6148,6112,5959,5612
253,8179,8036,7913,7748,7528,7434,6992,6761,6672,6229
254,8162,8064,7959,7790,7732,7744,7566,7514,7388,7174
255,7370,7081,7088,7046,6967,6642,5990,5547,5415,5228
256,7908,7773,7663,7512,7487,7346,7307,7151,6660,6583
257,8151,8137,8085,7888,7871,7521,7508,7289,7164,6978
258,8113,7635,7421,7315,7042,6864,6567,6532,6287,6140
259,8051,7592,7389,7363,7242,6757,6721,6498,6170,5730
260,8333,8251,7942,7928,7138,7059,6553,6385,6352,6018
261,7892,7647,7179,6778,6573,6513,6406,6121,5911,5841
262,7043,7017,6810,6599,6373,6034,5787,5399,5302,5214
263,8350,8169,8131,7826,7801,7553,7292,7226,7210,7121
264,8078,7844,7855,7583,7531,6862,6848,6083,6006,5991
265,7715,7484,7450,7349,7344,6776,6605,6519,5946,5189
266,8190,8134,7921,7878,7727,7358,6999,6699,6093,5545
267,7516,7053,6886,6790,6371,6375,6289,5681,5678,5420
268,7719,7627,7586,7590,7092,7032,6987,6828,6781,6725
269,7432,7400,7298,7181,7130,6585,6357,5956,5777,5744
270,7604,7474,7467,7443,7351,7287,7070,7048,6799,6569
271,8311,7997,7868,7737,7571,7549,7452,7397,7022,7002
272,7905,7915,7874,7398,7260,7196,7180,6748,6681,6611
273,7742,7517,7501,6988,6783,6295,6282,6152,5919,5801
274,6957,6803,6303,6208,5974,5948,5719,5152,4881,4159
275,8005,7970,7903,7591,7249,6915,6822,6458,6463,6290
276,7722,7687,7617,7530,7473,6964,6668,6540,6327,6177
277,7829,7587,7536,7018,6872,6635,6162,5810,5784,5468
278,7306,7014,6941,6829,6518,6478,6383,6330,6214,5320
279,8236,7541,7396,7385,7233,7062,6974,6613,6619,6497
280,8278,7950,7893,7728,7621,7595,7423,7033,6968,6859
281,7709,7342,7285,7222,7189,7049,7025,6913,6925,6712
282,8003,7542,7186,7075,6996,6924,5839,5577,5406,4972
283,7836,7649,7303,6963,6871,6863,6847,6575,6338,6104
284,7828,7599,6577,6487,6437,5893,5851,5569,5063,4192
285,8048,7847,7507,7301,7125,7055,6928,6633,6435,5966
286,8078,7844,7855,7583,7531,6862,6848,6083,6006,5991
287,8092,7890,7734,7321,6807,6530,6068,5985,5947,5865
288,8112,8020,7927,7846,7775,7721,7665,7202,7093,7006
289,8260,8271,8150,8081,7958,7699,7701,7655,7628,7610
290,7697,7689,7661,7648,7557,6897,6786,6260,6255,6085
291,7799,7752,7217,7168,6956,6685,6648,6601,6516,6506
292,7995,7933,7724,7636,7378,7319,7328,7136,7101,6977
293,7777,7673,7651,7483,7323,7274,6960,6899,6866,6839
294,8180,8172,8142,8090,7977,7966,7916,7918,7822,7537
295,7828,7599,6577,6487,6437,5893,5851,5569,5063,4192
296,8282,8080,7938,7332,7278,7073,6937,6902,6903,6480
297,8280,8258,7534,7207,6997,6661,6570,6528,6510,6251
298,7836,7649,7303,6963,6871,6863,6847,6575,6338,6104
299,8132,8070,7983,7837,7796,7753,7676,7576,7453,7336
300,7090,6731,6719,6630,6603,6562,6547,6452,6043,6000
301,8128,7816,7672,7425,6940,6837,6686,6380,6096,5798
302,7964,7412,7155,6990,6052,6047,5533,4994,4667,4156
303,8166,7952,7712,7281,7258,7134,7069,6501,6494,6425
304,8168,7532,7403,7374,6980,6523,6148,6112,5959,5612
305,7766,7746,7692,7079,6949,6762,6690,6670,6602,6559
306,7726,6893,6798,6503,6038,5659,5571,5548,5405,5141
307,8270,8079,7944,7873,7886,7690,7393,6785,6592,6479
308,7246,6608,6590,6294,6277,5613,5201,4681,4565,4534
309,7555,7126,6658,6594,6531,6433,6249,6167,6160,5975
310,8311,7997,7868,7737,7571,7549,7452,7397,7022,7002
311,8097,7791,7739,7588,7573,7505,7500,7488,7414,6750
312,7742,7517,7501,6988,6783,6295,6282,6152,5919,5801
313,7995,7933,7724,7636,7378,7319,7328,7136,7101,6977
314,7698,7361,7195,7097,6624,6392,6169,6032,5846,5830
315,7641,7422,7153,7061,6952,6831,6788,6623,6600,6576
316,7838,7819,7184,6920,6885,6791,6398,6365,6333,6280
317,7941,7936,7704,7449,6890,6716,6525,6069,6009,6013
318,7964,7412,7155,6990,6052,6047,5533,4994,4667,4156
319,8132,8070,7983,7837,7796,7753,7676,7576,7453,7336
320,7570,7383,6643,6107,5570,5377,4846,4779,4655,4273
321,7880,7833,7743,7435,7334,6838,6629,6344,6201,6120
322,7772,7638,7623,7471,7426,7191,6578,6535,6058,5668
323,8078,7844,7855,7583,7531,6862,6848,6083,6006,5991
324,7892,7647,7179,6778,6573,6513,6406,6121,5911,5841
325,8280,8258,7534,7207,6997,6661,6570,6528,6510,6251
326,8233,7861,7373,7159,7117,6946,6726,6588,6507,6482
327,7616,7356,7310,7141,6931,6818,6664,6636,6163,6015
328,7827,7624,7433,7057,6504,6434,6231,6165,5998,5862
329,7306,7014,6941,6829,6518,6478,6383,6330,6214,5320
330,7984,7882,7668,7606,7581,7283,7106,6852,6844,6770
331,8287,8170,8028,7802,7706,7489,7497,7036,7004,6524
332,8140,7955,7406,7091,6586,6476,6222,6197,5061,5053
333,8114,8026,8031,7821,7646,7417,7084,6792,6772,6646
334,7799,7752,7217,7168,6956,6685,6648,6601,6516,6506
335,7985,7700,7711,7688,7677,7523,7460,7429,7190,7007
336,8071,7973,7813,7710,7679,7662,7577,7472,7394,7247
337,7516,7053,6886,6790,6371,6375,6289,5681,5678,5420
338,8078,7844,7855,7583,7531,6862,6848,6083,6006,5991
339,7771,7653,7582,7479,7428,7270,6466,5708,5499,5458
340,8312,8264,7895,7384,7272,7082,6951,6908,6534,6322
341,7941,7936,7704,7449,6890,6716,6525,6069,6009,6013
342,7984,7882,7668,7606,7581,7283,7106,6852,6844,6770
343,7829,7587,7536,7018,6872,6635,6162,5810,5784,5468
344,8051,7592,7389,7363,7242,6757,6721,6498,6170,5730
345,7641,7422,7153,7061,6952,6831,6788,6623,6600,6576
346,8168,7532,7403,7374,6980,6523,6148,6112,5959,5612
347,8049,8013,7666,7658,7477,7409,7382,7212,6849,6645
348,8180,8172,8142,8090,7977,7966,7916,7918,7822,7537
349,8108,6868,6843,6378,6227,5852,5640,5407,5021,4933
350,7240,7204,6046,6014,5732,5008,4927,4833,4594,4586
351,7953,7852,7785,7657,7562,7056,7029,7019,6935,6689
352,8113,7635,7421,7315,7042,6864,6567,6532,6287,6140
353,7726,6893,6798,6503,6038,5659,5571,5548,5405,5141
354,8312,8264,7895,7384,7272,7082,6951,6908,6534,6322
355,7781,7619,7311,6947,6319,6230,6205,5967,5904,5687
356,8166,7952,7712,7281,7258,7134,7069,6501,6494,6425
357,7742,7517,7501,6988,6783,6295,6282,6152,5919,5801
358,8140,7955,7406,7091,6586,6476,6222,6197,5061,5053
359,8098,7509,7324,7326,7327,7178,7146,6796,6647,6410
360,8173,7988,7820,7803,7729,7089,6819,6793,6784,6310
361,8240,8034,7996,7860,7478,6882,6753,6764,6659,6517
362,8394,8104,7745,7741,7438,7244,6986,6971,6735,6706
363,7719,7627,7586,7590,7092,7032,6987,6828,6781,6725
364,7633,6979,6966,6909,6739,6679,6210,5965,5252,5116
365,7540,7201,7098,6950,6942,6865,6711,6445,6279,5685
366,8114,8026,8031,7821,7646,7417,7084,6792,6772,6646
367,8140,7955,7406,7091,6586,6476,6222,6197,5061,5053
368,8394,8104,7745,7741,7438,7244,6986,6971,6735,6706
369,8102,8037,8001,7909,7620,7605,7551,7455,7267,7208
370,8025,7769,7304,6889,6700,6644,6424,6185,6091,5840
371,7818,7436,7395,6693,6621,6171,5868,5427,5437,4843
372,8356,7858,7804,7526,7203,7194,6926,6766,6555,6454
373,7641,7422,7153,7061,6952,6831,6788,6623,6600,6576
374,7864,7755,7693,7445,7300,6982,6916,6927,6826,6777
375,8140,7955,7406,7091,6586,6476,6222,6197,5061,5053
376,7766,7746,7692,7079,6949,6762,6690,6670,6602,6559
377,8244,7848,7762,7572,7502,7016,6898,6617,6491,6474
378,8278,7950,7893,7728,7621,7595,7423,7033,6968,6859
379,7984,7882,7668,7606,7581,7283,7106,6852,6844,6770
380,8121,8082,8029,7685,7695,7615,7527,7415,7296,6411
381,7805,7608,7597,7464,7401,7381,7250,6907,6800,6122
382,8163,8117,7948,6618,6595,6449,6271,5614,5574,5457
383,8025,7769,7304,6889,6700,6644,6424,6185,6091,5840
384,7879,7830,7547,7299,7223,6804,6632,6370,6326,5993
385,7823,7784,7486,7377,7237,7241,7161,6809,6665,6328
386,8129,7894,7735,7215,7099,6994,6851,6861,6321,6064
387,7240,7204,6046,6014,5732,5008,4927,4833,4594,4586
388,7912,7842,7631,7569,7519,7243,7131,6405,6296,6299
389,8311,7997,7868,7737,7571,7549,7452,7397,7022,7002
390,7629,7005,6723,6298,6182,6146,6037,6040,5741,5637
391,8265,8155,7824,7504,7348,7314,7261,6813,6548,6354
392,7219,7225,7142,7030,6812,6556,5858,5807,5486,5387
393,7697,7689,7661,7648,7557,6897,6786,6260,6255,6085
394,7806,7481,7420,7312,7220,7041,7026,6667,6267,6193
395,7875,7644,7614,7548,7015,7024,6910,6054,5084,4985
396,8356,7858,7804,7526,7203,7194,6926,6766,6555,6454
397,7872,7731,7656,7584,7556,7510,7273,7228,7107,6919
398,8129,7894,7735,7215,7099,6994,6851,6861,6321,6064
399,7905,7915,7874,7398,7260,7196,7180,6748,6681,6611
400,7805,7608,7597,7464,7401,7381,7250,6907,6800,6122
401,7604,7474,7467,7443,7351,7287,7070,7048,6799,6569
402,7570,7383,6643,6107,5570,5377,4846,4779,4655,4273
403,8306,8023,7990,7730,7529,7493,7335,7224,6500,6417
404,8132,8070,7983,7837,7796,7753,7676,7576,7453,7336
405,6957,6803,6303,6208,5974,5948,5719,5152,4881,4159
406,7432,7400,7298,7181,7130,6585,6357,5956,5777,5744
407,8051,7592,7389,7363,7242,6757,6721,6498,6170,5730
408,8260,8271,8150,8081,7958,7699,7701,7655,7628,7610
409,8075,8004,7989,7954,7935,7681,7639,7554,7008,6488
410,8262,8077,7167,7000,6894,6656,6063,5765,5459,5424
411,8068,8052,7760,7419,6983,6481,6301,6243,6248,6225
412,7766,7746,7692,7079,6949,6762,6690,6670,6602,6559
413,6957,6803,6303,6208,5974,5948,5719,5152,4881,4159
414,8146,7926,7765,7470,7252,7236,6932,6551,6421,6292
415,8112,8020,7927,7846,7775,7721,7665,7202,7093,7006
416,7499,7380,7163,7011,6976,6560,6505,6212,6110,5968
417,8285,8018,7720,7703,7561,7239,7139,6683,6133,5887
418,8139,8141,7896,7876,7885,7733,7602,7593,7232,6917
419,8099,7513,6763,6736,6138,5854,5724,5675,5294,5117
420,7829,7587,7536,7018,6872,6635,6162,5810,5784,5468
421,8000,7891,7867,7337,7245,7152,7110,6918,6741,6692
422,8270,8079,7944,7873,7886,7690,7393,6785,6592,6479
423,8165,8124,7850,7776,7318,7149,6855,6805,6388,6311
424,7843,7476,7410,7144,6821,6708,6717,6673,6589,6542
425,8162,8064,7959,7790,7732,7744,7566,7514,7388,7174
426,7984,7882,7668,7606,7581,7283,7106,6852,6844,6770
427,8175,8093,8076,7779,7793,7427,7123,6593,6281,6233
428,7633,6979,6966,6909,6739,6679,6210,5965,5252,5116
429,7722,7687,7617,7530,7473,6964,6668,6540,6327,6177
430,8277,8182,8101,7869,7494,7302,7253,7188,7160,7080
431,8140,7955,7406,7091,6586,6476,6222,6197,5061,5053
432,8194,7904,7747,7558,7386,7262,7113,7037,6954,6794
